Fruta,Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
Amarillo,HSV,9,10694,1.0557999994489364,947.1490817597455,31.4
Amarillo,YCbCr,9,289417,0.9294999981648289,1075.8472318174975,31.7
Amarillo,LAB,9,252929,1.2341000001470093,810.3071062967971,25.4
Rojo,RGB,10,261403,0.7893000001786277,1266.945394366766,31.4
Rojo,HSV,10,4056,1.1346999999659602,881.2902088922173,27.8
Rojo,YCbCr,10,290020,1.0036999992735218,996.3136402548571,32.9
Rojo,LAB,10,228941,0.73079999856418,1368.3634400174105,26.5
Verde,RGB,10,30786,1.0483999976713676,953.8344164642596,34.5
Verde,HSV,10,261698,1.393300000927411,717.7205191519257,30.1
Verde,YCbCr,10,22279,0.8768000006966759,1140.5109479988978,33.1
Verde,LAB,10,40336,1.1738000030163676,851.9338877408879,31.6
Naranja,RGB,10,250174,3.2429999992018566,308.35646014372884,36.3
Naranja,HSV,10,32245,1.0658999999577645,938.1743128244904,30.9
Naranja,YCbCr,10,16908,1.8969000011566095,527.1759182825997,53.4
Naranja,LAB,10,276875,1.401500001520617,713.5212264823457,55.6
Amarillo,RGB,10,261403,1.6216999974858481,616.636863507627,39.3
Amarillo,HSV,10,4056,1.5402999997604638,649.2241772093181,30.2
Amarillo,YCbCr,10,290020,1.2243999990459997,816.726560584088,38.5
Amarillo,LAB,10,228941,0.8761999997659586,1141.291942783736,29.4
Rojo,RGB,11,253784,1.27269999939017,785.7311231862674,39.2
Rojo,HSV,11,5219,1.6672999990987591,599.7720869312896,58.0
Rojo,YCbCr,11,289618,2.059999998891726,485.4368934650471,34.3
Rojo,LAB,11,224517,1.1052999980165623,904.7317486605257,44.1
Verde,RGB,11,30556,1.223500003106892,817.3273375240311,29.4
Verde,HSV,11,257080,1.160100000561215,861.9946552161329,24.7
Verde,YCbCr,11,26439,1.272199999220902,786.0399313098586,45.2
Verde,LAB,11,49084,1.3073000009171665,764.9353624251717,53.5
Naranja,RGB,11,237571,1.5435000022989698,647.8781979336234,50.3
Naranja,HSV,11,32713,1.7894999982672743,558.8153120806223,25.0
Naranja,YCbCr,11,18462,1.6341000009560958,611.9576521723945,34.8
Naranja,LAB,11,255213,1.3433999993139878,744.3799318971667,32.4
Amarillo,RGB,11,253784,1.0963000022456981,912.1590786751492,34.2
Amarillo,HSV,11,5219,1.4747999994142447,678.0580420376838,28.6
Amarillo,YCbCr,11,289618,1.4534000001731329,688.0418328614816,27.8
Amarillo,LAB,11,224517,1.1883000006491784,841.5383316112863,31.2
Rojo,RGB,12,269426,1.8682000008993782,535.2745956099913,26.7
Rojo,HSV,12,34707,1.8815000003087334,531.49083169594,36.8
Rojo,YCbCr,12,289642,1.836600000387989,544.4843731834619,41.3
Rojo,LAB,12,250515,1.1582999977690633,863.3341983303495,33.1
Verde,RGB,12,30649,1.0059999985969625,994.0357866746217,36.5
Verde,HSV,12,230471,1.463199998397613,683.4335710054163,30.6
Verde,YCbCr,12,18155,1.1586000000534113,863.1106507456414,26.4
Verde,LAB,12,21269,0.7938999988255091,1259.604486055415,26.2
Naranja,RGB,12,213364,1.34030000117491,746.101618386479,65.4
Naranja,HSV,12,32374,1.3367999999900348,748.0550568577606,43.2
Naranja,YCbCr,12,17221,1.1095999980170745,901.2256685175408,28.8
Naranja,LAB,12,263776,1.0036999992735218,996.3136402548571,51.1
Amarillo,RGB,12,269426,1.4053999984753318,711.5411990073035,31.8
Amarillo,HSV,12,34707,1.2513000001490582,799.1688642858446,34.9
Amarillo,YCbCr,12,289642,1.1545000015757978,866.175832511981,41.5
Amarillo,LAB,12,250515,0.9016000003612135,1109.1393074527107,27.3
Rojo,RGB,13,265085,1.1456000029284041,872.9050257016247,34.3
Rojo,HSV,13,6043,0.9623000005376525,1039.176971257699,37.0
Rojo,YCbCr,13,290415,0.6810999984736554,1468.213187844662,24.7
Rojo,LAB,13,241864,1.6190999995160382,617.6270769556593,31.6
Verde,RGB,13,30142,0.8082000022113789,1237.3174922838682,29.6
Verde,HSV,13,256243,1.0003000024880748,999.7000874864254,27.6
Verde,YCbCr,13,22321,0.9074000008695293,1102.0498115954765,47.6
Verde,LAB,13,42986,1.6209999994316604,616.9031464223384,36.3
Naranja,RGB,13,227731,0.7968000027176458,1255.0200760407881,32.3
Naranja,HSV,13,32084,2.6340000003983732,379.65072127895115,32.7
Naranja,YCbCr,13,18520,1.0073000012198463,992.752902600014,25.3
Naranja,LAB,13,245107,0.6838000008428935,1462.4159092824498,48.2
Amarillo,RGB,13,265085,1.2754999988828786,784.0062727368328,31.8
Amarillo,HSV,13,6043,0.9845000022323802,1015.7440302005822,28.5
Amarillo,YCbCr,13,290415,1.188700000056997,841.2551526474729,29.2
Amarillo,LAB,13,241864,0.9184000009554438,1088.8501730832588,33.5
Rojo,RGB,14,247656,1.0603000009723473,943.129302162549,29.9
Rojo,HSV,14,7189,0.8712000017112587,1147.842054678312,34.4
Rojo,YCbCr,14,289647,1.0844999997061677,922.0839098856044,35.0
Rojo,LAB,14,207850,1.2476999982027337,801.474714627285,34.9
Verde,RGB,14,31314,1.6770000001997687,596.302921813284,35.4
Verde,HSV,14,253312,1.2478000026021618,801.4104807778492,32.9
Verde,YCbCr,14,23448,2.2968000012042467,435.38836619456856,30.8
Verde,LAB,14,47764,1.3567999994847924,737.0283021666588,25.9
Naranja,RGB,14,277715,1.9259999971836805,519.2108003438543,32.3
Naranja,HSV,14,33188,0.9676000008767005,1033.4849101839018,25.3
Naranja,YCbCr,14,17045,1.8731000018306077,533.8743254619004,36.8
Naranja,LAB,14,280061,1.9680999976117164,508.10426361134955,29.4
Amarillo,RGB,14,247656,1.5681000004406087,637.7144312983977,53.2
Amarillo,HSV,14,7189,0.9124999996856786,1095.8904113363965,28.8
Amarillo,YCbCr,14,289647,1.09359999987646,914.4111193425076,25.7
Amarillo,LAB,14,207850,1.0312000013072975,969.74398635789,25.0
Rojo,RGB,15,256684,0.9413000007043593,1062.3605643808737,27.2
Rojo,HSV,15,7599,1.345600001513958,743.1629004718212,29.8
Rojo,YCbCr,15,289470,0.9922999997797888,1007.759750299224,31.2
Rojo,LAB,15,221629,1.613800002814969,619.655470476942,30.9
Verde,RGB,15,31018,2.373200000874931,421.3719870349438,27.6
Verde,HSV,15,252086,1.0511000000406057,951.3842640675182,24.8
Verde,YCbCr,15,21297,1.6937000000325497,590.4233335187943,30.8
Verde,LAB,15,40382,1.0997999997925945,909.2562285766364,23.7
Naranja,RGB,15,252302,0.7618000017828308,1312.6804904958162,36.8
Naranja,HSV,15,33757,1.4063999988138676,711.0352679489349,29.2
Naranja,YCbCr,15,18535,1.1143000010633841,897.4243911385562,28.2
Naranja,LAB,15,264034,1.6131000011228025,619.9243687954544,34.3
Amarillo,RGB,15,256684,0.934600000618957,1069.9764598092559,23.2
Amarillo,HSV,15,7599,1.1873000003106426,842.2471150832663,48.3
Amarillo,YCbCr,15,289470,1.2835000015911646,779.1195938919302,43.8
Amarillo,LAB,15,221629,1.2452999981178436,803.0193539800915,24.9
Rojo,RGB,16,253480,0.851400000101421,1174.5360581170746,31.5
Rojo,HSV,16,4661,1.327100002527004,753.522717275145,29.4
Rojo,YCbCr,16,290104,1.3564999972004443,737.1913026640678,27.6
Rojo,LAB,16,224719,1.0236999987682793,976.8486873138661,31.1
Verde,RGB,16,30674,0.9582999991835095,1043.5145579171656,28.0
Verde,HSV,16,259244,1.1283999992883764,886.2105641888057,24.7
Verde,YCbCr,16,22309,0.8931000011216383,1119.6954414333295,25.3
Verde,LAB,16,46551,1.3899999976274557,719.4244616596161,29.1
Naranja,RGB,16,236586,0.800499998149462,1249.2192408641195,32.7
Naranja,HSV,16,33022,1.0021999987657182,997.804830604243,25.5
Naranja,YCbCr,16,17930,0.930900001549162,1074.229238732243,27.2
Naranja,LAB,16,268800,0.8062000015343074,1240.3869983836084,26.7
Amarillo,RGB,16,253480,0.809499997558305,1235.330454621742,25.5
Amarillo,HSV,16,4661,1.741200001561083,574.3165627747785,32.5
Amarillo,YCbCr,16,290104,1.266400002350565,789.6399227289166,23.9
Amarillo,LAB,16,224719,0.9089999985008035,1100.1100128154908,39.4
Rojo,RGB,17,228688,1.5419000010297168,648.5504892225025,54.9
Rojo,HSV,17,5510,0.9544999993522651,1047.6689373269896,24.4
Rojo,YCbCr,17,289058,0.8414000003540423,1188.4953643679848,33.3
Rojo,LAB,17,169536,0.8010999990801793,1248.283611469476,30.1
Verde,RGB,17,31972,1.4909000019542873,670.7357962902875,29.0
Verde,HSV,17,261086,0.7684000011067837,1301.4055160848848,25.6
Verde,YCbCr,17,26735,1.2842000032833312,778.6949053444064,25.3
Verde,LAB,17,70751,1.755799999955343,569.5409500087902,33.1
Naranja,RGB,17,280827,0.7965000004332978,1255.4927802335187,27.0
Naranja,HSV,17,32557,2.17500000144355,459.7701146373788,37.0
Naranja,YCbCr,17,16091,1.2045000003126916,830.2200080866727,36.9
Naranja,LAB,17,286698,1.317500002187444,759.0132814722589,46.9
Amarillo,RGB,17,228688,1.4140999992378056,707.16356731419,27.2
Amarillo,HSV,17,5510,0.9596999989298638,1041.9922904189577,37.9
Amarillo,YCbCr,17,289058,1.107899999624351,902.6085389828179,23.9
Amarillo,LAB,17,169536,1.9541000001481734,511.7445370882621,26.7
Rojo,RGB,18,258783,1.072099999873899,932.7488108549768,46.8
Rojo,HSV,18,4438,0.7284999992407393,1372.6835978616675,54.1
Rojo,YCbCr,18,289355,0.9208000010403339,1086.0121621092362,25.0
Rojo,LAB,18,232698,1.3706999998248648,729.5542424511349,34.1
Verde,RGB,18,29987,0.7366000027104747,1357.5889170788619,32.4
