Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
RGB,99,229397,0.5633000000671018,1775.2529733372578,0.0
RGB,100,216608,0.7592000001750421,1317.1759744065316,0.0
RGB,101,251544,0.7346000002144137,1361.2850526927875,0.0
RGB,102,226075,0.8134999989124481,1229.2563015819055,0.0
RGB,103,246093,0.6667999987257645,1499.7000628538858,0.0
RGB,104,231428,0.5978999997751089,1672.5204890050761,0.0
RGB,105,229578,0.6213999986357521,1609.2693952292282,0.0
RGB,106,237683,0.8469000003969995,1180.7769506804016,0.0
RGB,107,239307,0.7231999989016913,1382.7433649318018,0.0
RGB,108,239907,0.6776000009267591,1475.7969283239254,0.0
RGB,109,241741,0.5672999996022554,1762.735767144577,20.0
RGB,110,241213,0.5234999989625067,1910.2196790484054,0.0
RGB,111,241918,0.5307000010361662,1884.3037460854496,0.0
RGB,112,222339,0.5173999998078216,1932.7406269258427,0.0
RGB,113,244076,0.5182000004424481,1929.75684898916,0.0
RGB,114,253942,0.7481000011466676,1336.7196878321438,0.0
RGB,115,225709,0.7127000008040341,1403.1149135286205,0.0
RGB,116,237678,0.5999000004521804,1666.9444894919827,0.0
RGB,117,250589,0.5278999997244682,1894.298163519491,0.0
RGB,118,247117,0.6472999994002748,1544.8787284512632,0.0
RGB,119,246036,0.5875000006199116,1702.1276577784363,0.0
RGB,120,215892,0.5987000004097354,1670.28561769772,0.0
RGB,121,241356,0.950100000409293,1052.520786832134,0.0
RGB,122,237307,1.3343999999051448,749.4004796695777,0.0
RGB,123,246972,0.9785999991436256,1021.8679755519125,0.0
RGB,124,246352,0.9222000007866882,1084.3634777130167,0.0
RGB,125,226545,0.6685999996989267,1495.6625791957883,0.0
RGB,126,252085,0.715199999831384,1398.2102911573834,71.4
RGB,127,234874,0.7381000013992889,1354.829966270426,0.0
RGB,128,229635,0.6954999989829957,1437.814524029135,0.0
RGB,129,235178,0.9270999998989282,1078.6322943684816,0.0
RGB,130,241235,0.6266000000323402,1595.9144589026298,0.0
RGB,131,243289,0.7291999991139164,1371.3658820833034,0.0
RGB,132,240185,0.8975000000646105,1114.2061280534938,0.0
RGB,133,216307,0.6321000000752974,1582.0281599127943,0.0
RGB,134,239603,0.6240999991860008,1602.3073246343165,0.0
RGB,135,241172,0.6180999989737757,1617.861190196228,0.0
RGB,136,248490,0.6807000008848263,1469.0759493170603,0.0
RGB,137,229721,0.8156000003509689,1226.0912206592448,0.0
RGB,138,234552,0.928899999053101,1076.5421477224422,0.0
RGB,139,238123,1.148200000898214,870.9284090034139,0.0
RGB,140,240940,0.7311999997909879,1367.6148800408205,0.0
RGB,141,232312,0.6260000009206124,1597.444087107625,0.0
RGB,142,245064,0.5388000008679228,1855.9762405143947,50.0
RGB,143,233032,0.7181999990280019,1392.3698153068515,16.7
HSV,0,16199,63.09239999973215,15.849769544418113,30.4
HSV,1,15651,2.1238999997876817,470.83196012051707,0.0
HSV,2,15469,1.7478000008850358,572.1478427129126,0.0
HSV,3,16224,1.7650999998295447,566.540139423585,0.0
HSV,4,15600,1.9138999996357597,522.4933383093752,100.0
HSV,5,15823,1.6324999996868428,612.5574273763104,0.0
HSV,6,16370,1.4599999994970858,684.9315070852477,0.0
HSV,7,16239,1.663699998971424,601.0699048014943,0.0
HSV,8,15913,1.8142000008083414,551.2071433989838,0.0
HSV,9,16292,1.7487999994045822,571.8206772303706,0.0
HSV,10,15648,1.548600001115119,645.7445429936187,0.0
HSV,11,15932,1.9884000012098113,502.9169178191337,0.0
HSV,12,15706,1.626600000236067,614.7792941441479,87.5
HSV,13,15989,1.6231999998126412,616.0670281637664,0.0
HSV,14,15823,1.3125000004947651,761.9047616175513,0.0
HSV,15,16089,1.8674000002647517,535.5039091026156,0.0
HSV,16,15888,1.613500000530621,619.7706846427869,0.0
HSV,17,15168,2.7215999998588813,367.43092300553036,0.0
HSV,18,16284,2.7764999995270045,360.16567627241375,0.0
HSV,19,15513,1.6358999982912792,611.2843089703002,62.5
HSV,20,16096,2.0426999999472173,489.54814707291314,0.0
HSV,21,15907,1.5722000007372117,636.0513926543032,0.0
HSV,22,15644,1.7984999994951067,556.0189047988491,0.0
HSV,23,15902,1.3483999991876772,741.6196978659408,0.0
HSV,24,15796,1.7956000010599382,556.9169076685802,0.0
HSV,25,16086,2.2028999992471654,453.9470699267997,0.0
HSV,26,15566,1.859899999544723,537.6633153636141,0.0
HSV,27,15972,1.8903000000136672,529.0165582144474,100.0
HSV,28,15888,1.8780999998853076,532.4530110542934,0.0
HSV,29,15691,1.563799998621107,639.4679632189269,0.0
HSV,30,16272,2.005500000450411,498.62877076809383,0.0
HSV,31,16229,1.4852000003884314,673.3099917441862,0.0
HSV,32,16012,1.8344000000070082,545.1373746163212,0.0
HSV,33,15937,1.757400001224596,569.0224190868199,0.0
HSV,34,15491,2.4009000007936265,416.51047510077314,62.5
HSV,35,16003,1.4764000006834976,677.323218326369,0.0
HSV,36,15633,1.7762000006769085,562.9996619856439,0.0
HSV,37,15968,1.595199999428587,626.8806421503308,0.0
HSV,38,16355,1.7433000011806143,573.6247343100846,0.0
HSV,39,15394,1.5144999997573905,660.2839221922688,0.0
HSV,40,16672,2.0575000016833656,486.0267310725829,0.0
HSV,41,15684,1.784899999620393,560.2554766164362,0.0
HSV,42,15528,2.0839999997406267,479.84644919599776,60.0
HSV,43,16354,1.4281000003393274,700.231076088784,0.0
HSV,44,16330,1.9529000001057284,512.0589891678329,0.0
HSV,45,15958,1.3190000008762581,758.1501132188513,0.0
HSV,46,16872,1.6797999996924773,595.308965462002,0.0
HSV,47,15320,1.387900001645903,720.5130044052925,0.0
